run_name,status,best_epoch,best_downbeat_f1,best_beat_f1,best_val_loss,last_epoch,last_downbeat_f1,configured_epochs,seed,lr,batch_size,train_samples_per_epoch,segment_seconds,meter_loss_weight,drum_aux_loss_weight,drum_aux_use_high_frequency_flux,stem_dropout_max_count,init_scope,init_from,init_state_source,audio_backend,scheduler,ema_decay,num_layers,hidden_size,output_dim,resume,git_branch,git_commit,git_dirty,completed_at,run_path
exp_meter_classification_w0_0_5_specaug_f0_00_t0_05,complete,23,0.3743,0.5330,1.1145,30,0.3569,30,42,0.000300,8,1024,30.0,0.050,,,,,,,packed,warmup_cosine,0.9990,6,64,256,,exp/spec-augment-mask-rate,1c6becc6e9ecd1f4043bc0dfb291c1ce1a861c55,true,2026-03-13 19:00:25 UTC,outputs/exp_meter_classification_w0_0_5_specaug_f0_00_t0_05
exp_meter_classification_w0_0_5_specaug_f0_02_t0_05,complete,23,0.3705,0.5571,1.1243,30,0.3581,30,42,0.000300,8,1024,30.0,0.050,,,,,,,packed,warmup_cosine,0.9990,6,64,256,,exp/spec-augment-mask-rate,1c6becc6e9ecd1f4043bc0dfb291c1ce1a861c55,true,2026-03-13 21:09:27 UTC,outputs/exp_meter_classification_w0_0_5_specaug_f0_02_t0_05
from_ssl_pretrain,complete,30,0.3605,0.5938,1.0557,30,0.3605,30,42,0.000300,8,1024,30.0,0.050,0.100,true,4,backbone,outputs/ssl_plp_pretrain/plp_init_from_chord/checkpoint_last.pt,model_state_dict,packed,warmup_cosine,0.9990,6,64,256,,exp/ssl-pretrain-plp,44c9b888ce0adf7b1540b1417f4e86ca196198b4,true,2026-03-18 01:44:50 UTC,outputs/from_ssl_pretrain
exp_meter_classification_w0_0_5_specaug_f0_05_t0_10,complete,25,0.3604,0.5355,1.2867,30,0.3439,30,42,0.000300,8,1024,30.0,0.050,,,,,,,packed,warmup_cosine,0.9990,6,64,256,,exp/spec-augment-mask-rate,1c6becc6e9ecd1f4043bc0dfb291c1ce1a861c55,true,2026-03-13 22:13:57 UTC,outputs/exp_meter_classification_w0_0_5_specaug_f0_05_t0_10
exp_meter_classification_w0_0_5_beatpw10,complete,19,0.3599,0.6227,1.2610,30,0.3255,30,42,0.000300,8,1024,30.0,0.050,,,,,,,packed,warmup_cosine,0.9990,6,64,256,,exp/beat-pos-weight,e545cd80edb38d95f645441fff508640064d0372,true,2026-03-13 13:54:50 UTC,outputs/exp_meter_classification_w0_0_5_beatpw10
exp_meter_classification_w0_0_5_specaug_f0_00_t0_10,complete,24,0.3581,0.5582,1.1460,30,0.3552,30,42,0.000300,8,1024,30.0,0.050,,,,,,,packed,warmup_cosine,0.9990,6,64,256,,exp/spec-augment-mask-rate,1c6becc6e9ecd1f4043bc0dfb291c1ce1a861c55,true,2026-03-13 20:04:53 UTC,outputs/exp_meter_classification_w0_0_5_specaug_f0_00_t0_10
exp_meter_classification_w0_1,complete,24,0.3508,0.5380,1.4538,30,0.3388,30,42,0.000300,8,1024,30.0,0.100,,,,,,,packed,warmup_cosine,0.9990,6,64,256,,exp/meter-classification,07357ebe083aafc7234dad09257aa3b76e9e6ebe,true,2026-03-13 04:05:38 UTC,outputs/exp_meter_classification_w0_1
exp_meter_classification_w0_0_5_specaug_f0_02_t0_00,complete,29,0.3504,0.5507,1.3130,30,0.3468,30,42,0.000300,8,1024,30.0,0.050,,,,,,,packed,warmup_cosine,0.9990,6,64,256,,exp/spec-augment-mask-rate,1c6becc6e9ecd1f4043bc0dfb291c1ce1a861c55,true,2026-03-13 16:51:27 UTC,outputs/exp_meter_classification_w0_0_5_specaug_f0_02_t0_00
exp_meter_classification_w0_0_5_beatpw7_5,complete,16,0.3493,0.6194,1.1243,30,0.3248,30,42,0.000300,8,1024,30.0,0.050,,,,,,,packed,warmup_cosine,0.9990,6,64,256,,exp/beat-pos-weight,e545cd80edb38d95f645441fff508640064d0372,true,2026-03-13 15:04:31 UTC,outputs/exp_meter_classification_w0_0_5_beatpw7_5
exp_time_stretch_pm50,complete,22,0.3476,0.6170,1.0687,30,0.3372,30,42,0.000300,8,1024,30.0,0.050,,,,,,,packed,warmup_cosine,0.9990,6,64,256,,exp/time-stretch-augmentation,8af5e0224aad55ca3e419c04bc182d2e86acb6b0,true,2026-03-14 02:53:04 UTC,outputs/exp_time_stretch_pm50
